"participant_id","stimulus_id","utterance","response"
"participant1","S1-121","A",0.81
"participant1","S1-121","A > C",0.89
"participant1","S1-121","C",0.83
"participant1","S1-121","C > A",0.82
"participant1","S10-203","A",0.88
"participant1","S10-203","A > C",0.88
"participant1","S10-203","C",0.71
"participant1","S10-203","C > A",0.84
"participant1","S12-203","A",0.23
"participant1","S12-203","A > C",0.24
"participant1","S12-203","C",0.28
"participant1","S12-203","C > A",0.15
"participant1","S15-443","A",0.37
"participant1","S15-443","A > C",0.83
"participant1","S15-443","C",0.41
"participant1","S15-443","C > A",0.85
"participant1","S20-468","A",0.86
"participant1","S20-468","A > C",0.84
"participant1","S20-468","C",0.67
"participant1","S20-468","C > A",0.85
"participant1","S22-468","A",0.66
"participant1","S22-468","A > C",0.61
"participant1","S22-468","C",0.68
"participant1","S22-468","C > A",0.66
"participant1","S30-805","A",0.7
"participant1","S30-805","A > C",0.7
"participant1","S30-805","C",0.72
"participant1","S30-805","C > A",0.67
"participant1","S30-805-dep","A",0.79
"participant1","S30-805-dep","A > C",0.24
"participant1","S30-805-dep","C",0.15
"participant1","S30-805-dep","C > A",0.78
"participant1","S32-806","A",0.31
"participant1","S32-806","A > C",0.24
"participant1","S32-806","C",0.33
"participant1","S32-806","C > A",0.79
"participant1","S34-806","A",0.2
"participant1","S34-806","A > C",0.78
"participant1","S34-806","C",0.25
"participant1","S34-806","C > A",0.77
"participant1","S42-806","A",0.84
"participant1","S42-806","A > C",0.87
"participant1","S42-806","C",0.84
"participant1","S42-806","C > A",0.84
"participant1","S44-806","A",0.91
"participant1","S44-806","A > C",0.8
"participant1","S44-806","C",0.28
"participant1","S44-806","C > A",0.88
"participant1","S54-806","A",0.87
"participant1","S54-806","A > C",0.81
"participant1","S54-806","C",0.83
"participant1","S54-806","C > A",0.85
"participant1","S55-1006","A",0.19
"participant1","S55-1006","A > C",0.8
"participant1","S55-1006","C",0.51
"participant1","S55-1006","C > A",0.21
"participant1","S57-1007","A",0.47
"participant1","S57-1007","A > C",0.84
"participant1","S57-1007","C",0.11
"participant1","S57-1007","C > A",0.86
"participant1","S59-1007","A",0.39
"participant1","S59-1007","A > C",0.87
"participant1","S59-1007","C",0.81
"participant1","S59-1007","C > A",0.32
"participant1","S63-1039","A",0.75
"participant1","S63-1039","A > C",0.82
"participant1","S63-1039","C",0.79
"participant1","S63-1039","C > A",0.83
"participant1","S7-130","A",0.77
"participant1","S7-130","A > C",0.72
"participant1","S7-130","C",0.8
"participant1","S7-130","C > A",0.75
"participant1","S7-130-dep","A",0.78
"participant1","S7-130-dep","A > C",0.83
"participant1","S7-130-dep","C",0.77
"participant1","S7-130-dep","C > A",0.8
"participant1","S8-202","A",0.85
"participant1","S8-202","A > C",0.92
"participant1","S8-202","C",0.92
"participant1","S8-202","C > A",0.88
"participant1","S83-1609","A",0.63
"participant1","S83-1609","A > C",0.81
"participant1","S83-1609","C",0.58
"participant1","S83-1609","C > A",0.92
"participant1","S89-1642","A",0.67
"participant1","S89-1642","A > C",0.71
"participant1","S89-1642","C",0.65
"participant1","S89-1642","C > A",0.7
"participant1","S89-1642-dep","A",0.82
"participant1","S89-1642-dep","A > C",0.75
"participant1","S89-1642-dep","C",0.78
"participant1","S89-1642-dep","C > A",0.83
"participant1","S93-1674","A",0.73
"participant1","S93-1674","A > C",0.83
"participant1","S93-1674","C",0.76
"participant1","S93-1674","C > A",0.84
"participant1","S97-1674","A",0.79
"participant1","S97-1674","A > C",0.85
"participant1","S97-1674","C",0.81
"participant1","S97-1674","C > A",0.8
"participant10","S1-121","A",1
"participant10","S1-121","A > C",1
"participant10","S1-121","C",1
"participant10","S1-121","C > A",1
"participant10","S10-203","A",1
"participant10","S10-203","A > C",0.23
"participant10","S10-203","C",0.43
"participant10","S10-203","C > A",1
"participant10","S12-203","A",1
"participant10","S12-203","A > C",0.13
"participant10","S12-203","C",0.59
"participant10","S12-203","C > A",1
"participant10","S15-443","A",1
"participant10","S15-443","A > C",0.87
"participant10","S15-443","C",0.89
"participant10","S15-443","C > A",1
"participant10","S20-468","A",1
"participant10","S20-468","A > C",0.63
"participant10","S20-468","C",0.85
"participant10","S20-468","C > A",1
"participant10","S22-468","A",1
"participant10","S22-468","A > C",0.9
"participant10","S22-468","C",0.89
"participant10","S22-468","C > A",1
"participant10","S30-805","A",0.41
"participant10","S30-805","A > C",0.98
"participant10","S30-805","C",0.41
"participant10","S30-805","C > A",0.98
"participant10","S30-805-dep","A",0
"participant10","S30-805-dep","A > C",0
"participant10","S30-805-dep","C",0
"participant10","S30-805-dep","C > A",0.57
"participant10","S32-806","A",0.37
"participant10","S32-806","A > C",0.86
"participant10","S32-806","C",0.41
"participant10","S32-806","C > A",0.88
"participant10","S34-806","A",0.4
"participant10","S34-806","A > C",0.95
"participant10","S34-806","C",0.63
"participant10","S34-806","C > A",0.42
"participant10","S42-806","A",0
"participant10","S42-806","A > C",0.91
"participant10","S42-806","C",0
"participant10","S42-806","C > A",0.77
"participant10","S44-806","A",0.6
"participant10","S44-806","A > C",0.32
"participant10","S44-806","C",0.19
"participant10","S44-806","C > A",1
"participant10","S54-806","A",0
"participant10","S54-806","A > C",1
"participant10","S54-806","C",0.03
"participant10","S54-806","C > A",0.33
"participant10","S55-1006","A",0.76
"participant10","S55-1006","A > C",1
"participant10","S55-1006","C",0.91
"participant10","S55-1006","C > A",0.81
"participant10","S57-1007","A",0
"participant10","S57-1007","A > C",1
"participant10","S57-1007","C",0.99
"participant10","S57-1007","C > A",0
"participant10","S59-1007","A",0.27
"participant10","S59-1007","A > C",1
"participant10","S59-1007","C",0.97
"participant10","S59-1007","C > A",0.31
"participant10","S63-1039","A",0.32
"participant10","S63-1039","A > C",0.69
"participant10","S63-1039","C",0.73
"participant10","S63-1039","C > A",0.66
"participant10","S7-130","A",0.97
"participant10","S7-130","A > C",1
"participant10","S7-130","C",1
"participant10","S7-130","C > A",1
"participant10","S7-130-dep","A",0.98
"participant10","S7-130-dep","A > C",0.95
"participant10","S7-130-dep","C",1
"participant10","S7-130-dep","C > A",0.96
"participant10","S8-202","A",1
"participant10","S8-202","A > C",0.06
"participant10","S8-202","C",0.35
"participant10","S8-202","C > A",0.97
"participant10","S83-1609","A",0.9
"participant10","S83-1609","A > C",0.89
"participant10","S83-1609","C",0.86
"participant10","S83-1609","C > A",0.96
"participant10","S89-1642","A",0.6
"participant10","S89-1642","A > C",1
"participant10","S89-1642","C",0.98
"participant10","S89-1642","C > A",0.69
"participant10","S89-1642-dep","A",0.43
"participant10","S89-1642-dep","A > C",1
"participant10","S89-1642-dep","C",0.25
"participant10","S89-1642-dep","C > A",1
"participant10","S93-1674","A",0.78
"participant10","S93-1674","A > C",0.94
"participant10","S93-1674","C",0.84
"participant10","S93-1674","C > A",0.97
"participant10","S97-1674","A",1
"participant10","S97-1674","A > C",0.96
"participant10","S97-1674","C",0.99
"participant10","S97-1674","C > A",0.99
"participant11","S1-121","A",0.9
"participant11","S1-121","A > C",0.86
"participant11","S1-121","C",0.9
"participant11","S1-121","C > A",0.87
"participant11","S10-203","A",0.69
"participant11","S10-203","A > C",0.45
"participant11","S10-203","C",0.4
"participant11","S10-203","C > A",0.65
"participant11","S12-203","A",0.9
"participant11","S12-203","A > C",0.91
"participant11","S12-203","C",0.62
"participant11","S12-203","C > A",0.87
"participant11","S15-443","A",0.78
"participant11","S15-443","A > C",0.81
"participant11","S15-443","C",0.83
"participant11","S15-443","C > A",0.81
"participant11","S20-468","A",0.92
"participant11","S20-468","A > C",0.84
"participant11","S20-468","C",0.86
"participant11","S20-468","C > A",0.86
"participant11","S22-468","A",0.58
"participant11","S22-468","A > C",0.68
"participant11","S22-468","C",0.44
"participant11","S22-468","C > A",0.43
"participant11","S30-805","A",0.11
"participant11","S30-805","A > C",0.15
"participant11","S30-805","C",0.19
"participant11","S30-805","C > A",0.22
"participant11","S30-805-dep","A",0.12
"participant11","S30-805-dep","A > C",0.1
"participant11","S30-805-dep","C",0
"participant11","S30-805-dep","C > A",0.07
"participant11","S32-806","A",0.39
"participant11","S32-806","A > C",0.68
"participant11","S32-806","C",0.66
"participant11","S32-806","C > A",0.65
"participant11","S34-806","A",0.47
"participant11","S34-806","A > C",0.51
"participant11","S34-806","C",0.53
"participant11","S34-806","C > A",0.36
"participant11","S42-806","A",0.07
"participant11","S42-806","A > C",0.12
"participant11","S42-806","C",0.04
"participant11","S42-806","C > A",0.03
"participant11","S44-806","A",0.46
"participant11","S44-806","A > C",0.59
"participant11","S44-806","C",0.26
"participant11","S44-806","C > A",0.61
"participant11","S54-806","A",0.25
"participant11","S54-806","A > C",0.29
"participant11","S54-806","C",0.27
"participant11","S54-806","C > A",0.19
"participant11","S55-1006","A",0.52
"participant11","S55-1006","A > C",0.67
"participant11","S55-1006","C",0.73
"participant11","S55-1006","C > A",0.35
"participant11","S57-1007","A",0.38
"participant11","S57-1007","A > C",0.54
"participant11","S57-1007","C",0.65
"participant11","S57-1007","C > A",0.5
"participant11","S59-1007","A",0.29
"participant11","S59-1007","A > C",0.31
"participant11","S59-1007","C",0.19
"participant11","S59-1007","C > A",0.25
"participant11","S63-1039","A",0.52
"participant11","S63-1039","A > C",0.66
"participant11","S63-1039","C",0.65
"participant11","S63-1039","C > A",0.57
"participant11","S7-130","A",0.81
