"stimulus_id","utterance","mean"
"S1-121","A",0.8704
"S1-121","A > C",0.756530612244898
"S1-121","C",0.8794
"S1-121","C > A",0.761224489795918
"S10-203","A",0.8582
"S10-203","A > C",0.447551020408163
"S10-203","C",0.4898
"S10-203","C > A",0.552040816326531
"S12-203","A",0.8684
"S12-203","A > C",0.360612244897959
"S12-203","C",0.5082
"S12-203","C > A",0.624081632653061
"S15-443","A",0.842
"S15-443","A > C",0.583061224489796
"S15-443","C",0.6862
"S15-443","C > A",0.650204081632653
"S20-468","A",0.8776
"S20-468","A > C",0.630612244897959
"S20-468","C",0.7664
"S20-468","C > A",0.676326530612245
"S22-468","A",0.8714
"S22-468","A > C",0.619795918367347
"S22-468","C",0.7808
"S22-468","C > A",0.704285714285714
"S30-805","A",0.525434782608696
"S30-805","A > C",0.535
"S30-805","C",0.510869565217391
"S30-805","C > A",0.57304347826087
"S30-805-dep","A",0.419333333333333
"S30-805-dep","A > C",0.256363636363636
"S30-805-dep","C",0.148888888888889
"S30-805-dep","C > A",0.610227272727273
"S32-806","A",0.503191489361702
"S32-806","A > C",0.59063829787234
"S32-806","C",0.560425531914894
"S32-806","C > A",0.568297872340426
"S34-806","A",0.371521739130435
"S34-806","A > C",0.498913043478261
"S34-806","C",0.50695652173913
"S34-806","C > A",0.685217391304348
"S42-806","A",0.504255319148936
"S42-806","A > C",0.730434782608696
"S42-806","C",0.424042553191489
"S42-806","C > A",0.793913043478261
"S44-806","A",0.670208333333333
"S44-806","A > C",0.419791666666667
"S44-806","C",0.308125
"S44-806","C > A",0.830416666666667
"S54-806","A",0.295106382978723
"S54-806","A > C",0.726382978723404
"S54-806","C",0.436382978723404
"S54-806","C > A",0.394255319148936
"S55-1006","A",0.471224489795918
"S55-1006","A > C",0.567708333333333
"S55-1006","C",0.721428571428571
"S55-1006","C > A",0.327083333333333
"S57-1007","A",0.481875
"S57-1007","A > C",0.650212765957447
"S57-1007","C",0.822291666666667
"S57-1007","C > A",0.431914893617021
"S59-1007","A",0.2872
"S59-1007","A > C",0.774489795918367
"S59-1007","C",0.8046
"S59-1007","C > A",0.338367346938776
"S63-1039","A",0.436170212765957
"S63-1039","A > C",0.56
"S63-1039","C",0.621702127659574
"S63-1039","C > A",0.542608695652174
"S7-130","A",0.868
"S7-130","A > C",0.718367346938775
"S7-130","C",0.9018
"S7-130","C > A",0.722448979591837
"S7-130-dep","A",0.774285714285714
"S7-130-dep","A > C",0.77375
"S7-130-dep","C",0.819591836734694
"S7-130-dep","C > A",0.7975
"S8-202","A",0.790208333333333
"S8-202","A > C",0.469787234042553
"S8-202","C",0.397083333333333
"S8-202","C > A",0.647234042553192
"S83-1609","A",0.750204081632653
"S83-1609","A > C",0.6275
"S83-1609","C",0.686734693877551
"S83-1609","C > A",0.659583333333333
"S89-1642","A",0.744897959183674
"S89-1642","A > C",0.572291666666667
"S89-1642","C",0.766938775510204
"S89-1642","C > A",0.588125
"S89-1642-dep","A",0.672916666666667
"S89-1642-dep","A > C",0.761063829787234
"S89-1642-dep","C",0.687291666666667
"S89-1642-dep","C > A",0.773829787234042
"S93-1674","A",0.6484
"S93-1674","A > C",0.458775510204082
"S93-1674","C",0.716
"S93-1674","C > A",0.569183673469388
"S97-1674","A",0.822244897959184
"S97-1674","A > C",0.791875
"S97-1674","C",0.702448979591837
"S97-1674","C > A",0.817083333333333
