"participant_id","comments","stimulus_id","n","utterance","response"
"participant1","","S57-1007",2.28,"A",0.206140350877193
"participant1","","S57-1007",2.28,"C",0.0482456140350877
"participant1","","S57-1007",2.28,"A > C",0.368421052631579
"participant1","","S57-1007",2.28,"C > A",0.37719298245614
"participant1","","S1-121",3.35,"A",0.241791044776119
"participant1","","S1-121",3.35,"C",0.247761194029851
"participant1","","S1-121",3.35,"A > C",0.265671641791045
"participant1","","S1-121",3.35,"C > A",0.244776119402985
"participant1","","S30-805-dep",1.96,"A",0.403061224489796
"participant1","","S30-805-dep",1.96,"C",0.076530612244898
"participant1","","S30-805-dep",1.96,"A > C",0.122448979591837
"participant1","","S30-805-dep",1.96,"C > A",0.397959183673469
"participant1","","S7-130-dep",3.18,"A",0.245283018867925
"participant1","","S7-130-dep",3.18,"C",0.242138364779874
"participant1","","S7-130-dep",3.18,"A > C",0.261006289308176
"participant1","","S7-130-dep",3.18,"C > A",0.251572327044025
"participant1","","S55-1006",1.71,"A",0.111111111111111
"participant1","","S55-1006",1.71,"C",0.298245614035088
"participant1","","S55-1006",1.71,"A > C",0.467836257309942
"participant1","","S55-1006",1.71,"C > A",0.12280701754386
"participant1","","S63-1039",3.19,"A",0.235109717868339
"participant1","","S63-1039",3.19,"C",0.247648902821317
"participant1","","S63-1039",3.19,"A > C",0.25705329153605
"participant1","","S63-1039",3.19,"C > A",0.260188087774295
"participant1","","S93-1674",3.16,"A",0.231012658227848
"participant1","","S93-1674",3.16,"C",0.240506329113924
"participant1","","S93-1674",3.16,"A > C",0.262658227848101
"participant1","","S93-1674",3.16,"C > A",0.265822784810127
"participant1","","S89-1642-dep",3.18,"A",0.257861635220126
"participant1","","S89-1642-dep",3.18,"C",0.245283018867925
"participant1","","S89-1642-dep",3.18,"A > C",0.235849056603774
"participant1","","S89-1642-dep",3.18,"C > A",0.261006289308176
"participant1","","S7-130",3.04,"A",0.253289473684211
"participant1","","S7-130",3.04,"C",0.263157894736842
"participant1","","S7-130",3.04,"A > C",0.236842105263158
"participant1","","S7-130",3.04,"C > A",0.246710526315789
"participant1","","S59-1007",2.39,"A",0.163179916317992
"participant1","","S59-1007",2.39,"C",0.338912133891213
"participant1","","S59-1007",2.39,"A > C",0.364016736401674
"participant1","","S59-1007",2.39,"C > A",0.133891213389121
"participant1","","S97-1674",3.25,"A",0.243076923076923
"participant1","","S97-1674",3.25,"C",0.249230769230769
"participant1","","S97-1674",3.25,"A > C",0.261538461538462
"participant1","","S97-1674",3.25,"C > A",0.246153846153846
"participant1","","S15-443",2.46,"A",0.150406504065041
"participant1","","S15-443",2.46,"C",0.166666666666667
"participant1","","S15-443",2.46,"A > C",0.33739837398374
"participant1","","S15-443",2.46,"C > A",0.345528455284553
"participant1","","S89-1642",2.73,"A",0.245421245421245
"participant1","","S89-1642",2.73,"C",0.238095238095238
"participant1","","S89-1642",2.73,"A > C",0.26007326007326
"participant1","","S89-1642",2.73,"C > A",0.256410256410256
