"stimulus_id","utterance","mean"
"S1-121","A",0.27576312065527
"S1-121","A > C",0.223151597613438
"S1-121","C",0.279472697726147
"S1-121","C > A",0.221612584005145
"S10-203","A",0.424110108711653
"S10-203","A > C",0.169865572218252
"S10-203","C",0.193065461913423
"S10-203","C > A",0.212958857156673
"S12-203","A",0.43271149143687
"S12-203","A > C",0.126534832456233
"S12-203","C",0.202725363215687
"S12-203","C > A",0.23802831289121
"S15-443","A",0.33330219344539
"S15-443","A > C",0.196022986486456
"S15-443","C",0.250772770506751
"S15-443","C > A",0.219902049561404
"S20-468","A",0.31307658585092
"S20-468","A > C",0.199008160855687
"S20-468","C",0.2715777079594
"S20-468","C > A",0.216337545333992
"S22-468","A",0.31342053787017
"S22-468","A > C",0.187922774915143
"S22-468","C",0.278747069673932
"S22-468","C > A",0.219909617540755
"S30-805","A",0.258579131447187
"S30-805","A > C",0.232611413006961
"S30-805","C",0.238648565390168
"S30-805","C > A",0.270160890155684
"S30-805-dep","A",0.27868216842679
"S30-805-dep","A > C",0.184093697038558
"S30-805-dep","C",0.0696930061596284
"S30-805-dep","C > A",0.467531128375024
"S32-806","A",0.238730839804398
"S32-806","A > C",0.246406329789413
"S32-806","C",0.263206293565726
"S32-806","C > A",0.251656536840463
"S34-806","A",0.163680669615311
"S34-806","A > C",0.245086956990267
"S34-806","C",0.229809431420597
"S34-806","C > A",0.361422941973825
"S42-806","A",0.181086454749026
"S42-806","A > C",0.312846357523436
"S42-806","C",0.168641314757762
"S42-806","C > A",0.337425872969776
"S44-806","A",0.299205404134603
"S44-806","A > C",0.178472040787856
"S44-806","C",0.113732153086908
"S44-806","C > A",0.408590401990632
"S54-806","A",0.130439186106205
"S54-806","A > C",0.438285103815804
"S54-806","C",0.2092122195425
"S54-806","C > A",0.222063490535491
"S55-1006","A",0.220463566066238
"S55-1006","A > C",0.250543803237912
"S55-1006","C",0.396240120033838
"S55-1006","C > A",0.132752510662012
"S57-1007","A",0.187209954039669
"S57-1007","A > C",0.253035127778359
"S57-1007","C",0.403810385272534
"S57-1007","C > A",0.155944532909438
"S59-1007","A",0.114364023099035
"S59-1007","A > C",0.352158047179177
"S59-1007","C",0.395703854925979
"S59-1007","C > A",0.13777407479581
"S63-1039","A",0.180700241114084
"S63-1039","A > C",0.232316439059601
"S63-1039","C",0.365350085267604
"S63-1039","C > A",0.221633234558712
"S7-130","A",0.285758594153235
"S7-130","A > C",0.204411594601489
"S7-130","C",0.302894898820125
"S7-130","C > A",0.206934912425152
"S7-130-dep","A",0.243145563600034
"S7-130-dep","A > C",0.234689430921347
"S7-130-dep","C",0.265564783318106
"S7-130-dep","C > A",0.256600222160513
"S8-202","A",0.380938555389364
"S8-202","A > C",0.190802014266487
"S8-202","C",0.172147419544265
"S8-202","C > A",0.256112010799884
"S83-1609","A",0.303434122340938
"S83-1609","A > C",0.211693708183544
"S83-1609","C",0.257105004823716
"S83-1609","C > A",0.227767164651802
"S89-1642","A",0.29578215958302
"S89-1642","A > C",0.19727053099142
"S89-1642","C",0.304678496722897
"S89-1642","C > A",0.202268812702664
"S89-1642-dep","A",0.241129604055456
"S89-1642-dep","A > C",0.26357157827934
"S89-1642-dep","C",0.238630867466109
"S89-1642-dep","C > A",0.256667950199095
"S93-1674","A",0.271349770140425
"S93-1674","A > C",0.178448746402159
"S93-1674","C",0.301006465346022
"S93-1674","C > A",0.249195018111394
"S97-1674","A",0.263531710041947
"S97-1674","A > C",0.265547289119763
"S97-1674","C",0.209522392439757
"S97-1674","C > A",0.261398608398533
