stimulus,position,before_x,before_y,width,height,id
S1-121,-1,292.5,40,40,80,block1
S1-121,-1,432.5,40,40,80,block2
S1-121,-1,250,180,75,200,platform1
S1-121,-1,475,180,75,200,platform2
S10-203,-1,292.5,40,40,80,block1
S10-203,-1,442.5,140,40,80,block2
S10-203,-1,250,180,75,200,platform1
S10-203,-1,475,230,75,100,platform2
S12-203,side,282.5,140,40,80,block1
S12-203,side,432.5,140,40,80,block2
S12-203,side,362.5,230,150,100,platform1
S15-443,-1,292.5,40,40,80,block1
S15-443,-1,437.5,40,40,80,block2
S15-443,-1,250,180,75,200,platform1
S15-443,-1,475,180,75,200,platform2
S20-468,-1,292.5,40,40,80,block1
S20-468,-1,437.5,140,40,80,block2
S20-468,-1,250,180,75,200,platform1
S20-468,-1,475,230,75,100,platform2
S22-468,side,282.5,140,40,80,block1
S22-468,side,437.5,140,40,80,block2
S22-468,side,362.5,230,150,100,platform1
S30-805,side,292.5,140,40,80,block1
S30-805,side,432.5,140,40,80,block2
S30-805,side,362.5,230,150,100,platform1
S32-806,-1,282.5,40,40,80,block1
S32-806,-1,442.5,140,40,80,block2
S32-806,-1,250,180,75,200,platform1
S32-806,-1,475,230,75,100,platform2
S34-806,-1,302.5,160,80,40,block1
S34-806,-1,417.5,40,40,80,block2
S34-806,-1,275,230,75,100,platform1
S34-806,-1,450,180,75,200,platform2
S42-806,stack_A_on_C,362.5,138.33333333333331,80,40,block1
S42-806,stack_A_on_C,362.5,178.33333333333331,80,40,block2
S42-806,stack_A_on_C,362.5,203.33333333333331,200,10,seesawPlank
S44-806,stack_A_on_C,370,100,40,80,block1
S44-806,stack_A_on_C,335,160,80,40,block2
S44-806,stack_A_on_C,362.5,230,75,100,platform1
S54-806,stack_C_on_A,335,160,80,40,block1
S54-806,stack_C_on_A,365,120,80,40,block2
S54-806,stack_C_on_A,362.5,230,75,100,platform1
S55-1006,-1,282.5,140,40,80,block1
S55-1006,-1,437.5,160,80,40,block2
S55-1006,-1,250,230,75,100,platform1
S55-1006,-1,475,230,75,100,platform2
S57-1007,side,292.5,140,40,80,block1
S57-1007,side,437.5,140,40,80,block2
S57-1007,side,362.5,230,150,100,platform1
S59-1007,stack_C_on_A,335,160,80,40,block1
S59-1007,stack_C_on_A,375,100,40,80,block2
S59-1007,stack_C_on_A,362.5,230,75,100,platform1
S63-1039,-1,320,140,40,80,block1
S63-1039,-1,400,140,40,80,block2
S63-1039,-1,300,230,50,100,platform1
S63-1039,-1,425,230,50,100,platform2
S7-130,side,282.5,140,40,80,block1
S7-130,side,442.5,140,40,80,block2
S7-130,side,362.5,230,150,100,platform1
S8-202,-1,317.5,140,40,80,block1
S8-202,-1,417.5,140,40,80,block2
S8-202,-1,237.5,230,150,100,platform1
S8-202,-1,487.5,230,150,100,platform2
S83-1609,-1,287.5,140,40,80,block1
S83-1609,-1,437.5,140,40,80,block2
S83-1609,-1,212.5,230,150,100,platform1
S83-1609,-1,512.5,230,150,100,platform2
S89-1642,side,287.5,140,40,80,block1
S89-1642,side,437.5,140,40,80,block2
S89-1642,side,362.5,230,150,100,platform1
S93-1674,-1,250,160,80,40,block1
S93-1674,-1,400,40,40,80,block2
S93-1674,-1,287.5,230,75,100,platform1
S93-1674,-1,437.5,180,75,200,platform2
S97-1674,side,408.5,154.33333333333331,80,40,block1
S97-1674,side,328.5,154.33333333333331,80,40,block2
S97-1674,side,362.5,203.33333333333331,200,10,seesawPlank
S7-130-dep,side,252.5,178.33333333333331,80,40,block1
S7-130-dep,side,472.5,178.33333333333331,80,40,block2
S7-130-dep,side,362.5,203.33333333333331,200,10,seesawPlank
S30-805-dep,stack_A_on_C,377.5,120,80,40,block1
S30-805-dep,stack_A_on_C,347.5,160,80,40,block2
S30-805-dep,stack_A_on_C,362.5,230,150,100,platform1
S89-1642-dep,side,262.5,178.33333333333331,80,40,block1
S89-1642-dep,side,462.5,178.33333333333331,80,40,block2
S89-1642-dep,side,362.5,203.33333333333331,200,10,seesawPlank
