"participant_id","stimulus_id","n","utterance","response"
"participant1","S34-806",1.44,"a",0.159722222222222
"participant1","S34-806",1.44,"c",0.215277777777778
"participant1","S34-806",1.44,"ac",0.625
"participant1","S34-806",1.44,"none",0
"participant1","S7-130-dep",1.22,"a",0.131147540983607
"participant1","S7-130-dep",1.22,"c",0.0163934426229508
"participant1","S7-130-dep",1.22,"ac",0.754098360655738
"participant1","S7-130-dep",1.22,"none",0.0983606557377049
"participant1","S63-1039",1,"a",0
"participant1","S63-1039",1,"c",0.01
"participant1","S63-1039",1,"ac",0.03
"participant1","S63-1039",1,"none",0.96
"participant1","S89-1642",0.88,"a",0.0568181818181818
"participant1","S89-1642",0.88,"c",0.0340909090909091
"participant1","S89-1642",0.88,"ac",0.909090909090909
"participant1","S89-1642",0.88,"none",0
"participant1","S8-202",1.03,"a",0.00970873786407767
"participant1","S8-202",1.03,"c",0.106796116504854
"participant1","S8-202",1.03,"ac",0.0388349514563107
"participant1","S8-202",1.03,"none",0.844660194174757
"participant1","S42-806",1.12,"a",0.00892857142857143
"participant1","S42-806",1.12,"c",0.0267857142857143
"participant1","S42-806",1.12,"ac",0.160714285714286
"participant1","S42-806",1.12,"none",0.803571428571428
"participant1","S44-806",1.53,"a",0.516339869281046
"participant1","S44-806",1.53,"c",0
"participant1","S44-806",1.53,"ac",0.483660130718954
"participant1","S44-806",1.53,"none",0
"participant1","S83-1609",1.18,"a",0.0338983050847458
"participant1","S83-1609",1.18,"c",0
"participant1","S83-1609",1.18,"ac",0.788135593220339
"participant1","S83-1609",1.18,"none",0.177966101694915
"participant1","S1-121",1.25,"a",0.128
"participant1","S1-121",1.25,"c",0.168
"participant1","S1-121",1.25,"ac",0.704
"participant1","S1-121",1.25,"none",0
"participant1","S89-1642-dep",1.39,"a",0.0647482014388489
"participant1","S89-1642-dep",1.39,"c",0.129496402877698
"participant1","S89-1642-dep",1.39,"ac",0.201438848920863
"participant1","S89-1642-dep",1.39,"none",0.60431654676259
"participant1","S97-1674",1.09,"a",0.119266055045872
"participant1","S97-1674",1.09,"c",0.0275229357798165
"participant1","S97-1674",1.09,"ac",0.0917431192660551
"participant1","S97-1674",1.09,"none",0.761467889908257
