"submission_id","QUD","RT","age","b1","b2","comments","education","endTime","experiment_id","gender","languages","optionLeft","optionRight","p1","p2","picture","question","question1","question2","question3","question4","response","startDate","startTime","timeSpent","trial_name","trial_number","utterances","participant_id"
516,NA,47368,35,"260|160|80|40","400|140|40|80",NA,"Graduated College",1579852658835,12,"female","English",NA,NA,"212.5|230|75|100","475|230|150|100",NA,NA,NA,NA,NA,NA,"88|13|22|6","Fri Jan 24 2020 07:45:04 GMT+0000 (Greenwich Mean Time)",1579851904311,12.5754,"train1",1,"bg|g|b|none","participant1"
516,NA,37674,35,"292.5|40|40|80","442.5|140|40|80",NA,"Graduated College",1579852658835,12,"female","English",NA,NA,"212.5|180|150|200","512.5|230|150|100",NA,NA,NA,NA,NA,NA,"3|34|0|61","Fri Jan 24 2020 07:45:04 GMT+0000 (Greenwich Mean Time)",1579851904311,12.5754,"train2",2,"g|bg|none|b","participant1"
516,NA,32304,35,"333.2993128603232|140|40|80","346.0335420673901|80|80|40",NA,"Graduated College",1579852658835,12,"female","English",NA,NA,"362.5|230|150|100",NA,NA,NA,NA,NA,NA,NA,"0|0|10|68","Fri Jan 24 2020 07:45:04 GMT+0000 (Greenwich Mean Time)",1579851904311,12.5754,"train3",3,"g|bg|b|none","participant1"
516,NA,27132,35,"176.5852515913187|138.33333333333331|80|40","246.60063375655713|178.33333333333331|80|40",NA,"Graduated College",1579852658835,12,"female","English",NA,NA,"seesaw",NA,NA,NA,NA,NA,NA,NA,"0|2|87|8","Fri Jan 24 2020 07:45:04 GMT+0000 (Greenwich Mean Time)",1579851904311,12.5754,"train4",4,"none|g|bg|b","participant1"
516,"Rate how likely each of the following statements is!",22792,35,"302.5|160|80|40","417.5|40|40|80",NA,"Graduated College",1579852658835,12,"female","English","impossible event","certain event","275|230|75|100","450|180|75|200","images/group2/S34-806.jpg",NA,"<b>Blue will</b> and <b>green will</b> touch the ground.","<b>Blue will</b> and <b>green will not</b> touch the ground.","<b>Blue will not</b> and <b>green will</b> touch the ground.","<b>Blue will not</b> and <b>green will not</b> touch the ground.","90|31|23|0","Fri Jan 24 2020 07:45:04 GMT+0000 (Greenwich Mean Time)",1579851904311,12.5754,"slider_main",1,"bg|b|g|none","participant1"
516,"Rate how likely each of the following statements is!",24674,35,"252.5|178.33333333333331|80|40","472.5|178.33333333333331|80|40",NA,"Graduated College",1579852658835,12,"female","English","impossible event","certain event","seesaw",NA,"images/group2/S7-130-dep.jpg",NA,"<b>Blue will not</b> and <b>green will not</b> touch the ground.","<b>Blue will</b> and <b>green will not</b> touch the ground.","<b>Blue will</b> and <b>green will</b> touch the ground.","<b>Blue will not</b> and <b>green will</b> touch the ground.","12|2|92|16","Fri Jan 24 2020 07:45:04 GMT+0000 (Greenwich Mean Time)",1579851904311,12.5754,"slider_main",2,"none|b|bg|g","participant1"
516,"Rate how likely each of the following statements is!",29839,35,"320|140|40|80","400|140|40|80",NA,"Graduated College",1579852658835,12,"female","English","impossible event","certain event","300|230|50|100","425|230|50|100","images/group2/S63-1039.jpg",NA,"<b>Blue will</b> and <b>green will not</b> touch the ground.","<b>Blue will</b> and <b>green will</b> touch the ground.","<b>Blue will not</b> and <b>green will</b> touch the ground.","<b>Blue will not</b> and <b>green will not</b> touch the ground.","1|3|0|96","Fri Jan 24 2020 07:45:04 GMT+0000 (Greenwich Mean Time)",1579851904311,12.5754,"slider_main",3,"b|bg|g|none","participant1"
516,"Rate how likely each of the following statements is!",19470,35,"287.5|140|40|80","437.5|140|40|80",NA,"Graduated College",1579852658835,12,"female","English","impossible event","certain event","362.5|230|150|100",NA,"images/group2/S89-1642.jpg",NA,"<b>Blue will</b> and <b>green will</b> touch the ground.","<b>Blue will not</b> and <b>green will</b> touch the ground.","<b>Blue will</b> and <b>green will not</b> touch the ground.","<b>Blue will not</b> and <b>green will not</b> touch the ground.","80|5|3|0","Fri Jan 24 2020 07:45:04 GMT+0000 (Greenwich Mean Time)",1579851904311,12.5754,"slider_main",4,"bg|g|b|none","participant1"
516,"Rate how likely each of the following statements is!",19151,35,"317.5|140|40|80","417.5|140|40|80",NA,"Graduated College",1579852658835,12,"female","English","impossible event","certain event","237.5|230|150|100","487.5|230|150|100","images/group2/S8-202.jpg",NA,"<b>Blue will not</b> and <b>green will not</b> touch the ground.","<b>Blue will</b> and <b>green will</b> touch the ground.","<b>Blue will</b> and <b>green will not</b> touch the ground.","<b>Blue will not</b> and <b>green will</b> touch the ground.","87|4|11|1","Fri Jan 24 2020 07:45:04 GMT+0000 (Greenwich Mean Time)",1579851904311,12.5754,"slider_main",5,"none|bg|b|g","participant1"
516,"Rate how likely each of the following statements is!",16659,35,"362.5|138.33333333333331|80|40","362.5|178.33333333333331|80|40",NA,"Graduated College",1579852658835,12,"female","English","impossible event","certain event","seesaw",NA,"images/group2/S42-806.jpg",NA,"<b>Blue will</b> and <b>green will not</b> touch the ground.","<b>Blue will not</b> and <b>green will not</b> touch the ground.","<b>Blue will not</b> and <b>green will</b> touch the ground.","<b>Blue will</b> and <b>green will</b> touch the ground.","3|90|1|18","Fri Jan 24 2020 07:45:04 GMT+0000 (Greenwich Mean Time)",1579851904311,12.5754,"slider_main",6,"b|none|g|bg","participant1"
516,"Rate how likely each of the following statements is!",19007,35,"370|100|40|80","335|160|80|40",NA,"Graduated College",1579852658835,12,"female","English","impossible event","certain event","362.5|230|75|100",NA,"images/group2/S44-806.jpg",NA,"<b>Blue will</b> and <b>green will</b> touch the ground.","<b>Blue will not</b> and <b>green will</b> touch the ground.","<b>Blue will not</b> and <b>green will not</b> touch the ground.","<b>Blue will</b> and <b>green will not</b> touch the ground.","74|79|0|0","Fri Jan 24 2020 07:45:04 GMT+0000 (Greenwich Mean Time)",1579851904311,12.5754,"slider_main",7,"bg|g|none|b","participant1"
516,"Rate how likely each of the following statements is!",20901,35,"287.5|140|40|80","437.5|140|40|80",NA,"Graduated College",1579852658835,12,"female","English","impossible event","certain event","212.5|230|150|100","512.5|230|150|100","images/group2/S83-1609.jpg",NA,"<b>Blue will not</b> and <b>green will</b> touch the ground.","<b>Blue will</b> and <b>green will</b> touch the ground.","<b>Blue will</b> and <b>green will not</b> touch the ground.","<b>Blue will not</b> and <b>green will not</b> touch the ground.","4|93|0|21","Fri Jan 24 2020 07:45:04 GMT+0000 (Greenwich Mean Time)",1579851904311,12.5754,"slider_main",8,"g|bg|b|none","participant1"
516,"Rate how likely each of the following statements is!",19517,35,"292.5|40|40|80","432.5|40|40|80",NA,"Graduated College",1579852658835,12,"female","English","impossible event","certain event","250|180|75|200","475|180|75|200","images/group2/S1-121.jpg",NA,"<b>Blue will not</b> and <b>green will</b> touch the ground.","<b>Blue will not</b> and <b>green will not</b> touch the ground.","<b>Blue will</b> and <b>green will</b> touch the ground.","<b>Blue will</b> and <b>green will not</b> touch the ground.","16|0|88|21","Fri Jan 24 2020 07:45:04 GMT+0000 (Greenwich Mean Time)",1579851904311,12.5754,"slider_main",9,"g|none|bg|b","participant1"
516,"Rate how likely each of the following statements is!",18681,35,"262.5|178.33333333333331|80|40","462.5|178.33333333333331|80|40",NA,"Graduated College",1579852658835,12,"female","English","impossible event","certain event","seesaw",NA,"images/group2/S89-1642-dep.jpg",NA,"<b>Blue will</b> and <b>green will not</b> touch the ground.","<b>Blue will</b> and <b>green will</b> touch the ground.","<b>Blue will not</b> and <b>green will not</b> touch the ground.","<b>Blue will not</b> and <b>green will</b> touch the ground.","18|28|84|9","Fri Jan 24 2020 07:45:04 GMT+0000 (Greenwich Mean Time)",1579851904311,12.5754,"slider_main",10,"b|bg|none|g","participant1"
516,"Rate how likely each of the following statements is!",21597,35,"408.5|154.33333333333331|80|40","328.5|154.33333333333331|80|40",NA,"Graduated College",1579852658835,12,"female","English","impossible event","certain event","seesaw",NA,"images/group2/S97-1674.jpg",NA,"<b>Blue will</b> and <b>green will not</b> touch the ground.","<b>Blue will</b> and <b>green will</b> touch the ground.","<b>Blue will not</b> and <b>green will</b> touch the ground.","<b>Blue will not</b> and <b>green will not</b> touch the ground.","3|10|13|83","Fri Jan 24 2020 07:45:04 GMT+0000 (Greenwich Mean Time)",1579851904311,12.5754,"slider_main",11,"b|bg|g|none","participant1"
