"id","pa","pc","pc_given_a","pa_given_c","dependence.c","dependence.a"
"S1-121","high","high","uncertain","uncertain",1,1
"S2-121","high","high","uncertain","between-large",1,0.5
"S3-121","high","high","between-large","uncertain",0.5,1
"S4-121","high","high","between-large","between-large",0.5,0.5
"S5-130","high","high","between-large","high",0.5,0
"S6-130","high","high","high","between-large",0,0.5
"S7-130","high","high","high","high",0,0
"S8-202","high","low","low","low",0,2
"S9-203","high","low","low","between-small",0,1.5
"S10-203","high","low","low","uncertain",0,1
"S11-203","high","low","low","between-large",0,0.5
"S12-203","high","low","low","high",0,0
"S13-235","high","low","between-small","high",0.5,0
"S14-443","high","uncertain","low","between-small",1,1.5
"S15-443","high","uncertain","low","uncertain",1,1
"S16-443","high","uncertain","between-small","between-small",0.5,1.5
"S17-443","high","uncertain","between-small","uncertain",0.5,1
"S18-452","high","uncertain","between-small","between-large",0.5,0.5
"S19-468","high","uncertain","between-small","high",0.5,0
"S20-468","high","uncertain","uncertain","uncertain",0,1
"S21-468","high","uncertain","uncertain","between-large",0,0.5
"S22-468","high","uncertain","uncertain","high",0,0
"S23-500","high","uncertain","between-large","high",0.5,0
"S24-604","low","high","low","low",2,0
"S25-605","low","high","between-small","low",1.5,0
"S26-605","low","high","uncertain","low",1,0
"S27-605","low","high","between-large","low",0.5,0
"S28-605","low","high","high","low",0,0
"S29-637","low","high","high","between-small",0,0.5
"S30-805","low","low","low","low",0,0
"S31-806","low","low","low","between-small",0,0.5
"S32-806","low","low","low","uncertain",0,1
"S33-806","low","low","low","between-large",0,1.5
"S34-806","low","low","low","high",0,2
"S35-806","low","low","between-small","low",0.5,0
"S36-806","low","low","between-small","between-small",0.5,0.5
"S37-806","low","low","between-small","uncertain",0.5,1
"S38-806","low","low","between-small","between-large",0.5,1.5
"S39-806","low","low","between-small","high",0.5,2
"S40-806","low","low","uncertain","low",1,0
"S41-806","low","low","uncertain","between-small",1,0.5
"S42-806","low","low","uncertain","uncertain",1,1
"S43-806","low","low","uncertain","between-large",1,1.5
"S44-806","low","low","uncertain","high",1,2
"S45-806","low","low","between-large","low",1.5,0
"S46-806","low","low","between-large","between-small",1.5,0.5
"S47-806","low","low","between-large","uncertain",1.5,1
"S48-806","low","low","between-large","between-large",1.5,1.5
"S49-806","low","low","between-large","high",1.5,2
"S50-806","low","low","high","low",2,0
"S51-806","low","low","high","between-small",2,0.5
"S52-806","low","low","high","uncertain",2,1
"S53-806","low","low","high","between-large",2,1.5
"S54-806","low","low","high","high",2,2
"S55-1006","low","uncertain","low","low",1,0
"S56-1007","low","uncertain","between-small","low",0.5,0
"S57-1007","low","uncertain","uncertain","low",0,0
"S58-1007","low","uncertain","between-large","low",0.5,0
"S59-1007","low","uncertain","high","low",1,0
"S60-1023","low","uncertain","uncertain","between-small",0,0.5
"S61-1023","low","uncertain","between-large","between-small",0.5,0.5
"S62-1023","low","uncertain","high","between-small",1,0.5
"S63-1039","low","uncertain","high","uncertain",1,1
"S64-1247","uncertain","high","between-small","low",1.5,1
"S65-1247","uncertain","high","between-small","between-small",1.5,0.5
"S66-1247","uncertain","high","uncertain","low",1,1
"S67-1247","uncertain","high","uncertain","between-small",1,0.5
"S68-1256","uncertain","high","between-large","between-small",0.5,0.5
"S69-1272","uncertain","high","uncertain","uncertain",1,0
"S70-1272","uncertain","high","between-large","uncertain",0.5,0
"S71-1272","uncertain","high","high","between-small",0,0.5
"S72-1272","uncertain","high","high","uncertain",0,0
"S73-1304","uncertain","high","high","between-large",0,0.5
"S74-1408","uncertain","low","low","low",0,1
"S75-1409","uncertain","low","low","between-small",0,0.5
"S76-1409","uncertain","low","low","uncertain",0,0
"S77-1409","uncertain","low","low","between-large",0,0.5
"S78-1409","uncertain","low","low","high",0,1
"S79-1425","uncertain","low","between-small","uncertain",0.5,0
"S80-1425","uncertain","low","between-small","between-large",0.5,0.5
"S81-1425","uncertain","low","between-small","high",0.5,1
"S82-1441","uncertain","low","uncertain","high",1,1
"S83-1609","uncertain","uncertain","low","low",1,1
"S84-1626","uncertain","uncertain","low","between-small",1,0.5
"S85-1626","uncertain","uncertain","between-small","low",0.5,1
"S86-1626","uncertain","uncertain","between-small","between-small",0.5,0.5
"S87-1642","uncertain","uncertain","between-small","uncertain",0.5,0
"S88-1642","uncertain","uncertain","uncertain","between-small",0,0.5
"S89-1642","uncertain","uncertain","uncertain","uncertain",0,0
"S90-1658","uncertain","uncertain","uncertain","between-large",0,0.5
"S91-1658","uncertain","uncertain","between-large","uncertain",0.5,0
"S92-1658","uncertain","uncertain","between-large","between-large",0.5,0.5
"S93-1674","uncertain","uncertain","uncertain","high",0,1
"S94-1674","uncertain","uncertain","between-large","high",0.5,1
"S95-1674","uncertain","uncertain","high","uncertain",1,0
"S96-1674","uncertain","uncertain","high","between-large",1,0.5
"S97-1674","uncertain","uncertain","high","high",1,1
